date,time,broad_info,company_info,category
2025.05.19,00:00,여에스더글루타치온NS홈쇼핑,NS홈쇼핑,식품
2025.05.19,00:00,못난이명란1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.05.19,00:27,(방송에서만 무료체험분 1박스 더!) 데이즈온 알파CD(시클로덱스트린) 총19박스신세계쇼핑,신세계쇼핑,생활/건강
2025.05.19,00:31,25SS 썸머 재킷+원피스 2종세트SK스토아,SK스토아,패션의류
2025.05.19,00:38,삼육두유 검은콩 볶은귀리 60팩 + 흑임자두유 45팩 총105팩GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.05.19,00:38,라이나생명 (무)THE건강한치아보험V (신세계상품권 최대 3만원)KT알파쇼핑,KT알파쇼핑,여가/생활편의
2025.05.19,00:40,[상담예약]☆ 정수기 렌탈(CP-ABS100 / CP-SS100HWS / CP-U011)☆롯데원티비,롯데원티비,여가/생활편의
2025.05.19,00:51,A[(무)흥국생명 다재다능1540보험] 사은품 후라이팬 3종 세트쇼핑엔티,쇼핑엔티,여가/생활편의
2025.05.19,00:55,[온플]카빌리지 신차장기렌터카 비교견적_상시CJ온스타일 플러스,CJ온스타일 플러스,여가/생활편의
2025.05.19,01:00,삼성 갤럭시 북4 (39.6 cm) / NT750XGJ-KH51Y홈앤쇼핑,홈앤쇼핑,디지털/가전
2025.05.19,01:00,[초특] NEW 아렌시아 아르티장 그린 떡솝 시즌2CJ온스타일,CJ온스타일,화장품/미용
2025.05.19,01:00,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,여가/생활편의
2025.05.19,01:00,"[런칭가:59,000원]24FW BLUE LINE 시그니처 데님 뷔스티에롯데홈쇼핑",롯데홈쇼핑,패션의류
2025.05.19,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.05.19,01:20,[SK렌터카] SK렌터카 중고차 상담예약롯데원티비,롯데원티비,여가/생활편의
2025.05.19,01:27,(NEW컬러) 송월타월 테리갤러리 순면 코마사 타월 10장+10장세트신세계쇼핑,신세계쇼핑,생활/건강
2025.05.19,01:31,(방송에서만)코지마 복부허리관리기 코지코어맥스 CMT-E103WLSK스토아,SK스토아,디지털/가전
2025.05.19,01:38,[셀러스픽] 지프 25SS  남성 썸머 시어서커 셋업 3종신세계쇼핑,신세계쇼핑,패션의류
2025.05.19,01:39,다빈치 블루라이트차단 3분 뚝딱 LED등 3개세트GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,가구/인테리어
2025.05.19,01:40,팔레오 근력강화 산양유 프로틴(250328)▼세일현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.05.19,01:51,[50％세일] 종근당건강 락토핏 코어맥스 8개월분쇼핑엔티,쇼핑엔티,식품
2025.05.19,01:55,오모떼 에센셜 쉐이퍼 패키지CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.05.19,02:00,[OneTV][SK]냉감 3중직 자카드 침구 풀세트롯데원티비,롯데원티비,가구/인테리어
2025.05.19,02:00,[맥스튜어트뉴욕] 25SS 여성 에어라이트 데님 3종홈앤쇼핑,홈앤쇼핑,패션의류
2025.05.19,02:00,[미세스문] 25년 LK_삶아쓰는 다이아 모달 100% 침구 세트GS홈쇼핑,GS홈쇼핑,가구/인테리어
2025.05.19,02:00,델포유베이커리1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.05.19,02:00,[릴리오] by 오일릴리 25SS 퓨어 캐시미어100 시퀸 니트 자켓 롯데홈쇼핑,롯데홈쇼핑,패션의류
2025.05.19,02:00,히트상품 앵콜방송 2부NS홈쇼핑,NS홈쇼핑,식품
2025.05.19,02:00,[14인분]청수 100%국내산 보리순면공영쇼핑,공영쇼핑,식품
2025.05.19,02:00,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,패션의류
2025.05.19,02:05,[어찬반상]100% 순살 볼락+유자 간장소스 /총 2.5kg 뽈락CJ온스타일 플러스,CJ온스타일 플러스,식품
2025.05.19,02:11,25SS 선염 메모리 트렌치점퍼SK스토아,SK스토아,패션의류
2025.05.19,02:15,피플오브더월드 린넨 비스코스 카라 니트CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.05.19,02:20,인스타일 데일리 8부스판팬츠(250327)_49버전현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
