date,time,broad_info,company_info,category
2025.04.13,00:05,코어 어센틱 25SS 이집트 기자면 티셔츠 3종GS홈쇼핑,GS홈쇼핑,패션의류
2025.04.13,00:20,부하우스이불압축파우치(리빙)현대홈쇼핑,현대홈쇼핑,생활/건강
2025.04.13,00:31,(22+6)LG 휘센 뷰2 오브제컬렉션 공기청정 2in1 에어컨 FQ22EU2EA2 [74.5㎡+18.7㎡] +써큘레이터SK스토아,SK스토아,디지털/가전
2025.04.13,00:32,로베디카파 25SS 트랙수트 2종 여성KT알파쇼핑,KT알파쇼핑,패션의류
2025.04.13,00:32,[빅히트최신상/텐텐]25SS 푸마 기능성 남성 멀티팬츠 3종쇼핑엔티,쇼핑엔티,패션의류
2025.04.13,00:38,"[런칭 가격 59,900원] 마이클바스티안 25SS 아트웍 맨투맨 4종 여성GS홈쇼핑 마이샵",GS홈쇼핑 마이샵,패션의류
2025.04.13,00:40,[제우스] 제우스 오토포커스 드림 빔프로젝터 ZEUS L2000 + 방송에서만 100인치 천스크린롯데원티비,롯데원티비,디지털/가전
2025.04.13,00:40,메종노아 로사 플란넬침구(250121)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,가구/인테리어
2025.04.13,00:43,칵테일토마토1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.13,00:45,비에날씬 다이어트 유산균 10개월분+프로틴14포CJ온스타일 플러스,CJ온스타일 플러스,식품
2025.04.13,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.04.13,01:00,"도미솔 왕비포기김치 5kg+열무김치2kg+오이통김치2kg+쪽파갓김치2kg(4종,11kg)공영쇼핑",공영쇼핑,식품
2025.04.13,01:00,[골드카무트] ★방송에서만 50프로 세일+한 박스 더!★ KAMUT 효소 30포*12박스+르셀란테 파로효소G 1박스롯데홈쇼핑,롯데홈쇼핑,식품
2025.04.13,01:00,[비버리힐즈폴로클럽]25SS 남성 헨리넥 버튼 티셔츠 3종홈앤쇼핑,홈앤쇼핑,패션의류
2025.04.13,01:00,[방송에서만]독일1등 포모라인 다이어트 Extra 90정 4박스+2박스CJ온스타일,CJ온스타일,식품
2025.04.13,01:10,JEEP(패션Lab)현대홈쇼핑,현대홈쇼핑,스포츠/레저
2025.04.13,01:27,(방송에서만)[36주+4주+체험분1주]주영엔에스 헤어 콜라겐 인텐스 총 41주분(20mlX28포X10박스+체험분7포)신세계쇼핑,신세계쇼핑,식품
2025.04.13,01:31,(방송에서만) 헤어 콜라겐 인텐스 9박스 + 1박스 더 + 무료체험 7일분(20ml x 7포) | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.13,01:32,25SS 마담4060 간절기 니트 베스트 2종쇼핑엔티,쇼핑엔티,패션의류
2025.04.13,01:33,파격초특가! 이자녹스 듀얼커버 쿠션 본품2+리필2+퍼프3KT알파쇼핑,KT알파쇼핑,화장품/미용
2025.04.13,01:39,삼성갤럭시 북4 NT750XGJ-KH51YGS홈쇼핑 마이샵,GS홈쇼핑 마이샵,디지털/가전
2025.04.13,01:40,골든클레프 18K 주얼리 시즌24(250318)_기존가현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션잡화
2025.04.13,01:43,보국음식물처리기1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,디지털/가전
2025.04.13,01:45,[미리주문] 피토프로틴 헤어 컬러 더블구성 (내추럴브라운 / 다CJ온스타일 플러스,CJ온스타일 플러스,디지털/가전
2025.04.13,01:55,[락포트 정품] 시티라이트 에어메쉬 썸머스니커즈CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.13,02:00,임성근 흑돼지 장단콩비지찌개 14봉공영쇼핑,공영쇼핑,식품
2025.04.13,02:00,[방송에서만 이가격][세르즈블랑코] 25SS 파리 스티치 여성 가디건홈앤쇼핑,홈앤쇼핑,패션의류
2025.04.13,02:00,[12개월] 에치와이 바이오리브 100억 유산균 12박스(1박스:120mg X 30캡슐)롯데원티비,롯데원티비,식품
2025.04.13,02:00,보국음식물처리기2NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,디지털/가전
2025.04.13,02:00,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,스포츠/레저
2025.04.13,02:00,"[베네통스포츠] (최초가 169,000원)[베네통스포츠] 25SS 여성 카라 니트 3종롯데홈쇼핑",롯데홈쇼핑,패션의류
2025.04.13,02:00,셀렙샵 에디션 25SS  하프밀라노 니트 스커트CJ온스타일,CJ온스타일,패션의류
2025.04.13,02:00,SK_냉감사커 침구세트CJ온스타일 플러스,CJ온스타일 플러스,가구/인테리어
2025.04.13,02:00,히트상품 앵콜방송 2부NS홈쇼핑,NS홈쇼핑,식품
2025.04.13,02:10,[까사리빙]SK제트프레쉬 도레이첨단소재냉감패드CJ온스타일 플러스,CJ온스타일 플러스,가구/인테리어
2025.04.13,02:11,검가드 오리지널 에스 820ml 4개+380ml 4개+100ml 2개+센서티브 치약 150g 2개+20g 2개 세트SK스토아,SK스토아,생활/건강
2025.04.13,02:15,SK_효성 냉감패드 1+1CJ온스타일 플러스,CJ온스타일 플러스,가구/인테리어
2025.04.13,02:20,지프 시어서커 셋업(250404)_5분편집현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,스포츠/레저
2025.04.13,02:25,[미리주문] 피토프로틴 헤어 컬러 더블구성 (내추럴브라운 / 다CJ온스타일 플러스,CJ온스타일 플러스,디지털/가전
2025.04.13,02:25,Ai쇼핑쇼-올가니카 건강주스(250404)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.13,02:28,탐모라 제주 흑돼지 순살족발 150g *  6팩 + 아강발 300g * 2팩(새우양념소스5팩)신세계쇼핑,신세계쇼핑,식품
2025.04.13,02:30,Ai쇼핑쇼-테디크루 코튼 반팔티셔츠(250319)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.13,02:30,[신영와코루 메모리업] 신영와코루 Memory Up NEW 거들팬티 7종롯데홈쇼핑,롯데홈쇼핑,패션의류
2025.04.13,02:31,[정성곳간] 강순의 국내산 양념 LA 갈비 400g x 10팩쇼핑엔티,쇼핑엔티,식품
2025.04.13,02:34,(TV_)임성근의 특 도가니탕 800g*11팩KT알파쇼핑,KT알파쇼핑,식품
2025.04.13,02:35,[락포트 정품] 시티라이트 에어메쉬 썸머스니커즈CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.13,02:35,Ai쇼핑쇼-올가니카 건강주스(250404)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.13,02:38,[방송에서만 / 매니아] 글러브인어보틀 방패크림 세트 (60ml*6+특대 237ml*1)신세계쇼핑,신세계쇼핑,화장품/미용
2025.04.13,02:40,식물성 멜라토닌 함유 멜라바인 18개월CJ온스타일,CJ온스타일,식품
